region,week,title,artist,url,best_viral_rank,avg_viral_rank,viral_days_on_chart,breakout_probability
Ukraine,2021-12-13,Mr. Trance,Esteman,https://open.spotify.com/track/3SLIDzhExrfsvH6sVosiwn,3,13.857142857142858,7,0.8366583779903471
Paraguay,2021-12-13,Ameaça,"Paulo Pires, Mc Danny, Marcynho Sensação",https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP,1,1.2857142857142858,7,0.8353498263826826
Lithuania,2021-12-13,Ginseng Strip 2002,Yung Lean,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc,10,18.142857142857142,7,0.8350284471950248
Ukraine,2021-12-13,Кожура,ZAPOMNI,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,1,7.714285714285714,7,0.8349515132971002
South Africa,2021-12-13,Paris,"Q-Mark, TpZee, Afriikan Papi",https://open.spotify.com/track/7BH6nyhnWTSfMUwwrCYbJF,8,9.571428571428571,7,0.8348900701612089
Morocco,2021-12-13,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,2,3.7142857142857144,7,0.8347232509034266
Slovakia,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,7,14.428571428571429,7,0.8344897949044526
Saudi Arabia,2021-12-13,Célibataire,Cheba Maria,https://open.spotify.com/track/06ZSr80SDVVgNd9DdX1VDb,7,9.142857142857142,7,0.8326433218221252
Iceland,2021-12-13,Styttist í það,Baggalútur,https://open.spotify.com/track/3veY63DgDUzZB44wMUQVz8,1,1.0,7,0.8310885567443533
Ukraine,2021-12-13,Я уёбываю в джаз,Кишлак,https://open.spotify.com/track/3VeWIV9WTXUl8PcOusFjYv,4,11.285714285714286,7,0.8306595374295973
Romania,2021-12-13,Alien Blues,Vundabar,https://open.spotify.com/track/6UjeFOCGYgMpBUtqKg1Je3,4,4.0,7,0.8290608049720117
Iceland,2021-12-13,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF,9,13.714285714285714,7,0.8286057889730708
Malaysia,2021-12-13,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,13,14.285714285714286,7,0.8257750630495566
Panama,2021-12-13,Mon Amour - Remix,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,3,3.857142857142857,7,0.8240352741503435
Guatemala,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.4285714285714286,7,0.8208393629630137
Thailand,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.8208110853177314
Morocco,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.8207041388446517
South Africa,2021-12-13,Ameno Amapiano - Remix,"Goya Menor, Nektunez",https://open.spotify.com/track/3JIWSOzzlJfyf2Y1i54QeX,1,2.8333333333333335,6,0.8201308831412967
Iceland,2021-12-13,Með stjörnunum,Herbert Guðmundsson,https://open.spotify.com/track/6jHBzdq0by8m9DcQ6lL8VG,5,5.0,7,0.8195322296610086
Greece,2021-12-13,Kolie,"Thitis, The Plug, Mariletta",https://open.spotify.com/track/6CHq3QLo1Gtg3gFtIB1hbn,4,4.714285714285714,7,0.8195068191380886
Saudi Arabia,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,1,7.571428571428571,7,0.8187554414311303
Greece,2021-12-13,Alien Blues,Vundabar,https://open.spotify.com/track/6UjeFOCGYgMpBUtqKg1Je3,3,3.2857142857142856,7,0.8180892328747673
Thailand,2021-12-13,Lavender,Patrickananda,https://open.spotify.com/track/3BV2YcwoVRxK4dXxyaHpZU,2,2.0,7,0.81784387031241
Latvia,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,5,6.142857142857143,7,0.8164220751794159
Dominican Republic,2021-12-13,Piri Bambam,Kaly Ocho,https://open.spotify.com/track/2J25zvoM9fD8M8dGfdqvek,3,3.4285714285714284,7,0.8158648326085752
Panama,2021-12-13,I AM WOMAN,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,2,2.0,7,0.814411178539064
Slovakia,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,1,2.5714285714285716,7,0.8140534618396833
El Salvador,2021-12-13,Mon Amour - Remix,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,1,1.2857142857142858,7,0.8138947713671212
Panama,2021-12-13,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,12,21.285714285714285,7,0.812797279993786
Honduras,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.857142857142857,7,0.8123787945262352
Egypt,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.812350115363525
Estonia,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,4,7.0,7,0.8118585473009846
Romania,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.4285714285714286,7,0.8109624641039603
Honduras,2021-12-13,Un Millón de Primaveras,Vicente Fernández,https://open.spotify.com/track/6j5LtifAnuTjTYvml61yFZ,4,5.428571428571429,7,0.8107300921208799
Romania,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,5,12.0,7,0.8106382008554646
Latvia,2021-12-13,Move Your Body,"Öwnboss, Sevek",https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,4,4.142857142857143,7,0.8105254575324536
Panama,2021-12-13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,6,6.857142857142857,7,0.8105095877130805
Latvia,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.8104464418860832
Dominican Republic,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.0,7,0.8097758203884563
South Africa,2021-12-13,Johnnie Blou,Eloff,https://open.spotify.com/track/4zFtUFGQ7NG6iEM2K5Oca4,3,4.428571428571429,7,0.8096627046482208
Hungary,2021-12-13,DTB,Merczz,https://open.spotify.com/track/6BoXckigjvnIAZVQV6lELq,4,7.857142857142857,7,0.809621851446254
Dominican Republic,2021-12-13,I AM WOMAN,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,1,1.0,7,0.8088809883311501
Uruguay,2021-12-13,Do It To It,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,4,4.285714285714286,7,0.8086520030642075
Taiwan,2021-12-13,"如果可以 - 電影""月老""主題曲",WeiBird,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au,1,1.0,7,0.8085195987321175
Hungary,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,9,17.142857142857142,7,0.8069071033689946
South Africa,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,2.4285714285714284,7,0.8064288375379915
Hungary,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,1,1.0,7,0.8059823017815501
Taiwan,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.0,7,0.8053971029059803
Iceland,2021-12-13,Fairytale of New York (feat. Kirsty MacColl),The Pogues,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,2,3.4285714285714284,7,0.8051677141288822
Ukraine,2021-12-13,IN THE CLUB,Mishashi Sensei,https://open.spotify.com/track/7vX0rvoGneCCOJ2QPruNNZ,10,11.428571428571429,7,0.804767983348917
Dominican Republic,2021-12-13,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,7,7.714285714285714,7,0.8034215895352171
Bolivia,2021-12-13,TITAN,Salastkbron,https://open.spotify.com/track/5fBQLapwAPSLw27STml9kr,6,9.0,7,0.8024765896120923
Thailand,2021-12-13,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,7,7.0,7,0.8024348001462525
Saudi Arabia,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.1428571428571428,7,0.8013073965038445
South Africa,2021-12-13,Nkao Tempela,"Ch'cco, Mellow & Sleazy",https://open.spotify.com/track/7JtWy2vvKVXLaymyTXUJ0K,6,6.714285714285714,7,0.8004541386760465
Slovakia,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.2857142857142858,7,0.8002356623106179
Ukraine,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,1,4.428571428571429,7,0.7997754952831745
Malaysia,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,9,16.857142857142858,7,0.799716649264429
Ukraine,2021-12-13,Только по дури,Ежемесячные,https://open.spotify.com/track/24h4LzuORNmnSviYYymhqb,1,3.5714285714285716,7,0.7993129998269172
Egypt,2021-12-13,عشانك,siilawy,https://open.spotify.com/track/2L8xtCLeM42te93xowB4nx,15,23.857142857142858,7,0.7989953971779536
Greece,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,3,7.285714285714286,7,0.7988182335306291
Malaysia,2021-12-13,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,7,7.285714285714286,7,0.798093698313769
Malaysia,2021-12-13,Ajarkan Aku...,Arvian Dwi,https://open.spotify.com/track/0oFODP50WO9IhPfZHZ99hs,14,20.714285714285715,7,0.7979294087997452
Uruguay,2021-12-13,Noche de Party,"Migrantes, Nico Valdi",https://open.spotify.com/track/4PDoCa5P0QK7KFhTsEKJB8,6,6.0,7,0.7975893128111927
Morocco,2021-12-13,Etnaset,Muslim - مُسلِم,https://open.spotify.com/track/5hiQSNo6jQbQ2m2gBZs7bU,4,6.142857142857143,7,0.7967451581586888
Iceland,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,6,9.142857142857142,7,0.796687817616524
Panama,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,4,12.666666666666666,6,0.7965257783198216
Saudi Arabia,2021-12-13,Goodbye (from the series Arcane League of Legends),Ramsey,https://open.spotify.com/track/5QWjrWckcPcSVqQNfbD4Bc,4,4.571428571428571,7,0.7964009530105678
Paraguay,2021-12-13,TITAN,Salastkbron,https://open.spotify.com/track/5fBQLapwAPSLw27STml9kr,5,5.428571428571429,7,0.7960168213936678
Iceland,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.142857142857143,7,0.7958543349971237
Vietnam,2021-12-13,Guess I'll Leave,Funny Death,https://open.spotify.com/track/49bCaCAiNNtJUgkfUjKKOt,3,5.142857142857143,7,0.7955195145089583
South Africa,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,9,11.142857142857142,7,0.7952015257113423
Paraguay,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.7142857142857142,7,0.7940925751377009
Slovakia,2021-12-13,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,3,3.142857142857143,7,0.793797196064059
South Africa,2021-12-13,TO THE MOON,Jnr Choi,https://open.spotify.com/track/0hYFc3HSZHDaDzquLVRwBH,13,18.5,6,0.793676342057467
Saudi Arabia,2021-12-13,Wahchagh Cham,Abdelmoula,https://open.spotify.com/track/2tulJGa40a9Uw2aZlxoSrX,12,17.285714285714285,7,0.7935349879980841
Slovakia,2021-12-13,Move Your Body,"Öwnboss, Sevek",https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,6,8.571428571428571,7,0.7931209154312858
Bolivia,2021-12-13,I AM WOMAN,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,2,3.142857142857143,7,0.7921729575860001
Morocco,2021-12-13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,4,5.0,7,0.7921485004947743
Hong Kong,2021-12-13,"如果可以 - 電影""月老""主題曲",WeiBird,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au,2,2.0,7,0.7918748628526787
Czech Republic,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,1,2.0,7,0.7915797995010535
Portugal,2021-12-13,Pira Nos Caipira,"Dj Chris No Beat, Luan Pereira",https://open.spotify.com/track/5aQsAijCXIoHqGXu9RGS6s,4,4.0,7,0.791201971271691
Panama,2021-12-13,Tu Vocecita,Alejandro Torres y Las Estrellas del Ritmo,https://open.spotify.com/track/64C84StDOMrh9jLfqkCgXW,3,4.428571428571429,7,0.7908944307859653
El Salvador,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,2,9.0,6,0.790675655703005
Singapore,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.7906502603213845
Singapore,2021-12-13,Habibi,"Ricky Rich, Dardan, Zuna",https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z,4,4.428571428571429,7,0.7906393846541485
Greece,2021-12-13,Swim,Chase Atlantic,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx,31,35.714285714285715,7,0.7905865449618196
Hong Kong,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.7901515364401369
Ukraine,2021-12-13,Swimming Pool,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,4,5.142857142857143,7,0.7899744810540631
Saudi Arabia,2021-12-13,Lost in the Fire (feat. The Weeknd),Gesaffelstein,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS,21,23.0,7,0.7898692031646264
Singapore,2021-12-13,น้ำแดงน้ำส้ม,JV.JARVIS,https://open.spotify.com/track/1xxJiB2B3rMw8g85PPtcN7,3,3.142857142857143,7,0.7890051497780175
Uruguay,2021-12-13,Hasta la Raíz,Natalia Lafourcade,https://open.spotify.com/track/3lGMtkONrZdJ8kTCg6KIFf,16,19.428571428571427,7,0.7885541356113334
Dominican Republic,2021-12-13,3730,Treintisiete,https://open.spotify.com/track/38NWfFQynxu9Ok4Gf3xedH,5,11.0,7,0.7885389765361089
Austria,2021-12-13,DTB,Merczz,https://open.spotify.com/track/6BoXckigjvnIAZVQV6lELq,7,7.857142857142857,7,0.7885143894586666
El Salvador,2021-12-13,Two Birds,Regina Spektor,https://open.spotify.com/track/2n0U2OG5d6TuW5mKx7YrC0,14,26.142857142857142,7,0.7879707632145286
Vietnam,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.7877731516880485
Bolivia,2021-12-13,Convéncete,Princesa Alba,https://open.spotify.com/track/5UyH584f99c7qErZifyaHy,9,11.857142857142858,7,0.7877691674197554
Greece,2021-12-13,Block Star,"Gio Melody, Thug Slime",https://open.spotify.com/track/0TAyMBJom5srRoUynRHLtR,5,6.428571428571429,7,0.7874361555288988
Singapore,2021-12-13,"如果可以 - 電影""月老""主題曲",WeiBird,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au,2,2.0,7,0.7873130211396513
Latvia,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,2,3.7142857142857144,7,0.7872374319979324
Lithuania,2021-12-13,СОЛНЦЕ МОНАКО,Lusia Chebotina,https://open.spotify.com/track/5YDBHDEIgWkfairCJgGApW,7,7.0,7,0.7863559785998584
Taiwan,2021-12-13,hair tie,ØZI,https://open.spotify.com/track/2bLGJ6yOPN4fAKQkLrJYxp,4,12.714285714285714,7,0.7862546140434588
Thailand,2021-12-13,ตกหลุมรักรอบที่ล้าน,Kinkaworn,https://open.spotify.com/track/7qZVlkwZgCRtugsZ3sbUre,3,3.7142857142857144,7,0.785555047648132
Egypt,2021-12-13,مهرجان شيماء سوسته,xMusicx,https://open.spotify.com/track/1XfCwoty8IF95U0YyRTmCH,2,2.2857142857142856,7,0.784692341737957
Ukraine,2021-12-13,Полина,volgarparis,https://open.spotify.com/track/44IveH1zrogPg9Ikw09QLv,4,7.428571428571429,7,0.7840897509337447
Morocco,2021-12-13,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,2,2.2857142857142856,7,0.7838179518762944
Ireland,2021-12-13,Just A Little While,The 502s,https://open.spotify.com/track/3CL0eXel8usNNSCQ6OT7KJ,6,9.857142857142858,7,0.7837862969408428
Lithuania,2021-12-13,Sahara,Hensonn,https://open.spotify.com/track/6nqdgUTiWt4JbABDurkxMI,8,8.142857142857142,7,0.7837049816380778
Dominican Republic,2021-12-13,abcdefu (angrier),GAYLE,https://open.spotify.com/track/1EQFOouqdKYdpbNoOHRVO2,17,23.714285714285715,7,0.7835701787851785
Israel,2021-12-13,In Spain We Call It Soledad,Rigoberta Bandini,https://open.spotify.com/track/6pQaZOyzCzY36EXoA2U05p,1,1.0,7,0.7833498138201868
Paraguay,2021-12-13,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos","Mc Delux, DJ MT7",https://open.spotify.com/track/3hycwch1V1aCbKGlcfKg0I,21,22.571428571428573,7,0.7826974012740181
Latvia,2021-12-13,Swimming Pool,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,2,2.142857142857143,7,0.7826325301780835
Egypt,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,5,15.285714285714286,7,0.7821687163951127
Paraguay,2021-12-13,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw,12,14.714285714285714,7,0.7820351626742121
South Africa,2021-12-13,Habibi,"Ricky Rich, Dardan, Zuna",https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z,13,15.428571428571429,7,0.7817354860351315
Greece,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,11,23.166666666666668,6,0.7816987355420645
Malaysia,2021-12-13,น้ำแดงน้ำส้ม,JV.JARVIS,https://open.spotify.com/track/1xxJiB2B3rMw8g85PPtcN7,3,4.142857142857143,7,0.7808946722517455
Morocco,2021-12-13,MILANO,7-Toun,https://open.spotify.com/track/5TR5g2mXk58AbVbHLVRbsM,6,7.857142857142857,7,0.779992834539689
Panama,2021-12-13,everythingoes,"RM, NELL",https://open.spotify.com/track/7bSJAuXjyhlTcz5CfoNDdt,9,13.142857142857142,7,0.7799685806491371
Israel,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.0,7,0.7799285908264239
Guatemala,2021-12-13,I AM WOMAN,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,2,2.5714285714285716,7,0.7796145281444445
El Salvador,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.8571428571428572,7,0.7793554673011631
Honduras,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,4,15.166666666666666,6,0.7792344721458144
Paraguay,2021-12-13,Hasta la Raíz,Natalia Lafourcade,https://open.spotify.com/track/3lGMtkONrZdJ8kTCg6KIFf,7,7.285714285714286,7,0.7791711964819734
El Salvador,2021-12-13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,4,5.857142857142857,7,0.7791445764322513
Panama,2021-12-13,Taca a Xereca pra Mim,MC Kaique da VP,https://open.spotify.com/track/2GqCEJpzmD81AJ2H0Hyz5T,8,9.571428571428571,7,0.7790742543563103
Panama,2021-12-13,Do It To It,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,8,9.571428571428571,7,0.7790742543563103
Panama,2021-12-13,Dragona Rmix,"Mole, BARBEL, Fulo El Yeyo, Tot, Kabliz",https://open.spotify.com/track/1nuf47FxdQrxekJJ8fVndJ,23,27.571428571428573,7,0.778572367841739
Estonia,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,1,1.7142857142857142,7,0.7779093461765018
Slovakia,2021-12-13,DTB,Merczz,https://open.spotify.com/track/6BoXckigjvnIAZVQV6lELq,12,14.857142857142858,7,0.7778983188199382
Egypt,2021-12-13,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,4,4.142857142857143,7,0.77789195424267
Ecuador,2021-12-13,Mon Amour - Remix,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,3,4.285714285714286,7,0.7775578139662476
Paraguay,2021-12-13,Bar,"TINI, L-Gante",https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC,9,9.714285714285714,7,0.7773608823859346
Ukraine,2021-12-13,Шнурки,METAN,https://open.spotify.com/track/4lBbG8BHYRvJAJE25bEMIm,25,35.714285714285715,7,0.7771586177309985
Romania,2021-12-13,I AM WOMAN,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,1,1.8571428571428572,7,0.7768820152323475
Bolivia,2021-12-13,Los Malvekes,"Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile",https://open.spotify.com/track/1AnJQd8TfkhK6M3VgZDVv1,13,23.857142857142858,7,0.7765331821640922
Malaysia,2021-12-13,Die For You,"VALORANT, Grabbitz",https://open.spotify.com/track/2lz3zjQ5QCVXiyOzIk02vW,3,4.0,7,0.7764911104460109
South Africa,2021-12-13,Alien Blues,Vundabar,https://open.spotify.com/track/6UjeFOCGYgMpBUtqKg1Je3,13,15.714285714285714,7,0.7763912583028361
Ecuador,2021-12-13,Hace Rato Me Picó un Mosquito,"Crafo, Franco Paolo",https://open.spotify.com/track/5OSxqUITs9nnjzm3WsF6Jc,7,17.571428571428573,7,0.7762361787186687
Ireland,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,1,1.2857142857142858,7,0.7760852346478658
Honduras,2021-12-13,Do It To It,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,4,5.571428571428571,7,0.7759166079772004
Greece,2021-12-13,Habibi - Albanian Remix,"Ricky Rich, Dardan, DJ Gimi-O",https://open.spotify.com/track/2sHYMLUd4nVLxHPKY05Ein,23,32.285714285714285,7,0.7757823767648117
Romania,2021-12-13,Swimming Pool,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,1,2.7142857142857144,7,0.7757765292415051
Malaysia,2021-12-13,Helikopter,Fazlija,https://open.spotify.com/track/3xGOOOPD2HjErQLyRFk5Wf,3,4.571428571428571,7,0.7754852696059071
Indonesia,2021-12-13,น้ำแดงน้ำส้ม,JV.JARVIS,https://open.spotify.com/track/1xxJiB2B3rMw8g85PPtcN7,3,3.5714285714285716,7,0.7749347130436602
